Print_Text_PL = {
	Print_Text_DiaryPage1_title = "POCZĄTEK KOŃCA",
	Print_Text_DiaryPage1_info = "KONIEC CZERWCA 1993 R.\n\nW ostatnich dniach czerwca 1993 roku pracowałem jako stażysta w Louisville State University.\n\nByło to laboratorium akademickie. Małe, niedofinansowane, pełne prowizorycznego sprzętu i odczynników bliskich przeterminowania.\n\nNasz zespół składał się z pół tuzina naukowców i trzech stażystów. Wierzyliśmy, że badamy jedynie możliwą chorobę odzwierzęcą dotykającą lokalną faunę.\n\nProste rzeczy: zmienione odpowiedzi immunologiczne, nietypowe wzorce leukocytów, dziwne zmiany białek w niektórych próbkach.\n\nNic, co uzasadniałoby alarm... z wyjątkiem cuchnącego zapachu utrzymującego się w powietrzu od tygodni."

	Print_Text_DiaryPage2_title = "PIERWSZE OZNAKI",
	Print_Text_DiaryPage2_info = "3 LIPCA 1993 R.\n\nPo mieście zaczęły krążyć pogłoski ze szpitala Św. Peregryna w Louisville. Mówiono o gorączkach, które nie spadały, dziwnej martwicy skóry, pobudzonych pacjentach i procedurach kwarantanny uchylanych na rozkaz „z góry” .\n\nMniej więcej w tym czasie dr Hughson, mój bezpośredni przełożony, zaczął otrzymywać anonimowe próbki krwi, zawsze opatrzone małymi notatkami z pieczęcią szpitala Św. Peregryna.\n\nDziwne było to, że Hughson nigdy nie wyjaśnił, kto je wysyłał — a tym bardziej, dlaczego wszystko docierało w takiej tajemnicy. Często znikał, „w eskorcie wojska”, jak podawała recepcja na kampusie. Twierdził, że jedzie „zbierać materiał” do laboratorium poza uniwersytetem, ale nigdy nie powiedział gdzie.\n\nUważałem to wszystko za głęboko zagmatwane.\nCywilny naukowiec w eskorcie wojska?\n\nW innym laboratorium, którego lokalizacji nikt nie znał?\n\nTo wszystko nie miało sensu.\n\nMoja praca była prosta: katalogowanie próbek, obsługa wirówek, obserwacja zachowania leukocytów, prowadzenie dziennika laboratoryjnego i organizacja raportów.\n\nPo prostu wykonywałem polecenia.\nNic nadzwyczajnego."

	Print_Text_DiaryPage3_title = "PRÓBKA NIE BYŁA LUDZKA",
	Print_Text_DiaryPage3_info = "4 LIPCA 1993 R.\n\nDotarła kolejna niezidentyfikowana próbka, jak wiele innych. Ale kiedy analizowałem strukturę komórkową, od razu stało się jasne: to nie było ludzkie.\n\nBiałka były niewłaściwe. Reakcja termiczna była agresywna. Komórki krwi… to nie były komórki krwi. Nigdy wcześniej czegoś takiego nie widziałem.\n\nZawołałem doktora Hughsona. Stał przez kilka sekund w milczeniu, wpatrując się w slajd, a potem powiedział:\n\n„Zanotuj to jako zanieczyszczenie środowiska”.\n\nI wyszedł z pokoju.\nTo nikogo nie przekonało.\n\nZespół podzielił się: niektórzy uważali, że to zmutowana zoonoza; inni podejrzewali wyciek z wojska. Co do mnie, szczerze mówiąc, po prostu rejestrowałem dane i starałem się za dużo o tym nie myśleć."

	Print_Text_DiaryPage4_title = "DZIEŃ, W KTÓRYM WSZYSTKO SIĘ ZAŁAMAŁO",
	Print_Text_DiaryPage4_info = "6 LIPCA 1993 R.\n\nJeden z naukowców zniknął. Po prostu nie pojawił się na porannej zmianie. Dzień wcześniej zabrał do domu kilka próbek.\n\nNastępnego dnia, gdy dotarliśmy do laboratorium, przy wejściu na kampus była wojskowa blokada. Śmigłowce krążyły nad głowami. Policjanci domagali się dokumentów od każdego pracownika.\n\nPróbowaliśmy dodzwonić się do szpitala Św. Peregryna.\n„Numer tymczasowo niedostępny”.\n\nPrasa zaczęła donosić o tajemniczym „pożarze chemicznym w hrabstwie Knox”.\n\nPożar chemiczny?\nW całym hrabstwie?\nI wojsko zamyka drogi?\n\nKto by w to uwierzył?\n\nWtedy zrozumiałem:\nNikt nas nie ochroni.\nNikt nas nie ostrzeże.\nNikt nas nie uratuje.\n\nI pod koniec tego dnia podjąłem decyzję, która zmieniła wszystko:\nWziąłem wszystkie dokumenty badawcze, które mogłem unieść…\n…i uciekłem.\n\nNie byłem naukowcem.\nNie byłem wojskowym.\nNie byłem ocalałym.\n\nByłem tylko stażystą.\nAle jedynym, który zrozumiał, że skoro rząd otacza hrabstwo, to nie po to, by chronić ludność. Ale by ukryć to, co naprawdę się działo."

	Print_Text_DiaryPage5_title = "OSTATNIA NOC PRZED PIEKŁEM",
	Print_Text_DiaryPage5_info = "8 LIPCA 1993 R.\n\nW przededniu katastrofy wszystko w końcu nabrało sensu: uniwersyteckie laboratorium badało tylko część infekcji, szpital Memorial zajmował się już zaawansowanymi przypadkami, hrabstwo było opanowane, a tak zwany „pożar chemiczny” był kłamstwem.\n\nPróbowałem opuścić miasto, ale mnie zatrzymano.\nPróbowałem uciec bocznymi drogami, ale wszędzie były już blokady.\n\nW końcu utknąłem tutaj.\n\nNiosłem ze sobą torbę, kilka narzędzi oraz wszystkie podręczniki, notatki i raporty, które udało mi się uratować."

	Print_Text_DiaryPage6_title = "MOJE NOTATKI — 'Jak Odtworzyć Laboratorium na Kampusie'",
	Print_Text_DiaryPage6_info = "9 LIPCA 1993 R.\n\nWciąż nie wiem, jak zrobić wszystko sam.\nAle dużo się nauczyłem, obserwując doktora Hughsona — a teraz, z podręcznikami, które udało mi się ocalić, myślę, że mogę spróbować odtworzyć część procesu.\n\n1. Pierwszy krok: zbudować warsztat.\nBez niego nic nie zrobię.\n\n2. Potem muszę skonstruować piec muflowy.\nBo bez szkła laboratoryjnego — kolb, probówek, słoików — nic nie działa.\nWszystko zaczyna się od szkła.\n\nKiedy będę miał już wystarczająco dużo probówek i kolb, w końcu będę mógł złożyć resztę sprzętu.\n\n6. Podstawowy proces, który zapamiętałem z procedur laboratoryjnych:\n\nPOBIERANIE\nZgodnie z podręcznikami (i z tego, co pamiętam), pierwszą rzeczą, którą muszę zrobić, jest:\nI. pobranie świeżej zainfekowanej krwi.\nII. Potrzebuję pięciu probówek do następnego kroku.\n\nROZDZIELANIE\nZ pięcioma probówkami mogę użyć wirówki, aby rozdzielić je na:\na. osocze\nb. komórki krwi\n\nOsocze do szczepionek.\nKomórki do leukocytów.\n\nLEUKOCYTY\nMając komórki krwi, pod mikroskopem mogę wyizolować leukocyty.\nSą one niezbędne.\n\nPRZECIWCIAŁA\nNastępnie, w chromatografie (z włączonym komputerem), mogę ekstrahować przeciwciała z leukocytów.\nTo jest to, co naprawdę ma znaczenie.\nBez nich nie ma szczepionki — a tym bardziej lekarstwa.\n\nSZCZEPIONKI\nZ osoczem, leukocytami i odczynnikami mogę spróbować stworzyć:\nI. podstawową szczepionkę\nII. szczepionkę dobrej jakości\nIII. zaawansowaną szczepionkę\n\nAle lekarstwo...\nLekarstwo wymaga wielu przeciwciał.\nO wiele więcej, niż pamiętałem.\n\nSpędziłem całą noc na pisaniu tego. Mam nadzieję, że to na coś się przyda.\nSyreny ucichły. Może to już koniec.\n\nA teraz jestem sam.\nBez zespołu, bez prawdziwego laboratorium, bez nieograniczonych zapasów.\n\nTylko torba, kilka książek i wiedza, którą ukradłem, zanim wszystko runęło.\n\nAle spróbuję.\n\nBo ktoś musi..."
}
